rep,psi,cond,model,corr,lr,conv
23,0.0,none,Baseline,-0.069255083690133,1.216684131678555,True
23,0.0,none,CLF,-0.06919972744950272,1.2167118702425412,True
23,0.0,none,FAMF,-0.06912057981619608,1.196931283034509,True
24,0.0,none,Baseline,-0.03759428100791796,0.3588519506216823,True
24,0.0,none,CLF,-0.1476458308665962,1.9282079875427591,True
24,0.0,none,FAMF,-0.027811695248220178,0.1878457305822998,True
25,0.0,none,Baseline,0.009345811829672536,0.024195286352320267,True
25,0.0,none,CLF,0.009463911305003521,0.02397064637389157,True
25,0.0,none,FAMF,0.009629855631246085,0.024294619564793507,True
26,0.0,none,Baseline,-0.07904721493147182,1.6344602959087648,True
26,0.0,none,CLF,-0.07887755366870236,1.6338859685036091,True
26,0.0,none,FAMF,-0.07911001482637102,1.6340050985132972,True
27,0.0,none,Baseline,0.03728400531990331,0.36163718761612706,True
27,0.0,none,CLF,0.037328877116352986,0.36080446404807454,True
27,0.0,none,FAMF,0.051319269286472735,0.6537914537283775,True
28,0.0,none,Baseline,-0.044673730710853565,0.5114329457770328,True
28,0.0,none,CLF,-0.20185827983097887,2.4803872526972075,True
28,0.0,none,FAMF,-0.0446121806108689,0.5117468166342611,True
29,0.0,none,Baseline,-0.13735800407439774,4.985982360075106,True
29,0.0,none,CLF,-0.13719964892535927,4.985859905040144,True
29,0.0,none,FAMF,-0.12688660663935597,4.08511557103604,True
30,0.0,none,Baseline,0.033463347311347785,0.2982634318781532,True
30,0.0,none,CLF,-0.12182241668367344,1.1227237770849872,True
30,0.0,none,FAMF,0.045482505323866065,0.5269155111356554,True
31,0.0,none,Baseline,-0.007570800052940537,0.015383183351172391,True
31,0.0,none,CLF,-0.007988638406148623,0.015254619052313956,True
31,0.0,none,FAMF,-0.007791946835449288,0.015085097491057908,True
32,0.0,none,Baseline,0.04539469754216436,0.5414179278635523,True
32,0.0,none,CLF,-0.19923803957032904,3.1422557675924914,True
32,0.0,none,FAMF,0.05475048600126281,0.7634872365206977,True
33,0.0,none,Baseline,0.03498869978223865,0.32009380292337575,True
33,0.0,none,CLF,0.007010713261254753,0.005996076452200683,True
33,0.0,none,FAMF,0.0390093685019962,0.3915205074751711,True
34,0.0,none,Baseline,0.11598382127849595,3.5237995129063613,True
34,0.0,none,CLF,0.11131055057275889,1.154245674401352,True
34,0.0,none,FAMF,0.13295367302246158,4.359243234176315,True
35,0.0,none,Baseline,-0.04582077197422898,0.5477979503967685,True
35,0.0,none,CLF,-0.09604380356432358,1.2415589798594784,True
35,0.0,none,FAMF,-0.04579249065918586,0.54763467963671,True
36,0.0,none,Baseline,-0.0568813570372224,0.8581830268201589,True
36,0.0,none,CLF,-0.05693723970281457,0.8579945346795679,True
36,0.0,none,FAMF,-0.04926560380671821,0.6208066753702361,True
37,0.0,none,Baseline,0.02666309699742149,0.18746295855559403,True
37,0.0,none,CLF,0.02646651958098512,0.18731728159487915,True
37,0.0,none,FAMF,0.04711764195393478,0.5475850141046852,True
38,0.0,none,Baseline,-0.12162382749928173,3.7801432802524086,True
38,0.0,none,CLF,-0.2377052622847448,4.903434077978112,True
38,0.0,none,FAMF,-0.1220726318876772,3.780495662173667,True
39,0.0,none,Baseline,0.04197365473369216,0.46081730681478916,True
39,0.0,none,CLF,0.04205009364533546,0.4578364451240571,True
39,0.0,none,FAMF,0.04727875975784239,0.5752553501226494,True
40,0.0,none,Baseline,-0.030334052413111767,0.2366536490952118,True
40,0.0,none,CLF,-0.030239569280700224,0.2362204730725459,True
40,0.0,none,FAMF,-0.030329493148236922,0.23347374723295466,True
41,0.0,none,Baseline,-0.007184269111246959,0.01316394538826593,True
41,0.0,none,CLF,-0.007339016896552184,0.013485526267727366,True
41,0.0,none,FAMF,-0.004649581259451283,0.005649591840761303,True
42,0.0,none,Baseline,0.11082652709566758,3.1901659552298725,True
42,0.0,none,CLF,0.0988303667028728,0.5597899458602225,True
42,0.0,none,FAMF,0.11086323805015981,3.1900621211537477,True
43,0.0,none,Baseline,-0.044476093759444967,0.5085303467274613,True
43,0.0,none,CLF,-0.04436683149031632,0.5072948969906754,True
43,0.0,none,FAMF,-0.02854672737014782,0.19854922184336843,True
44,0.0,none,Baseline,-0.028127612633213783,0.20301235882435797,True
44,0.0,none,CLF,-0.04378853482130484,0.24121397220824292,True
44,0.0,none,FAMF,-0.02802063931486612,0.20302973306011474,True
45,0.0,none,Baseline,-0.014841390553058139,0.05723703426682292,True
45,0.0,none,CLF,-0.014672600067651366,0.0572625711018091,True
45,0.0,none,FAMF,-0.014836772009293557,0.056985815528481254,True
46,0.0,none,Baseline,-0.021244049077089284,0.12007017604508441,True
46,0.0,none,CLF,-0.1114926971727299,0.6475253483684682,True
46,0.0,none,FAMF,-0.02068111963495538,0.11117981607206495,True
47,0.0,none,Baseline,0.040099082403925214,0.4183104978228034,True
47,0.0,none,CLF,0.03993024665593653,0.29860198468789534,True
47,0.0,none,FAMF,0.05272497620016661,0.6945766040199146,True
48,0.0,none,Baseline,0.059228485797896496,0.8706952675272337,True
48,0.0,none,CLF,0.059132378808637615,0.6586011152814866,True
48,0.0,none,FAMF,0.06136133915938788,0.9019217429969562,True
49,0.0,none,Baseline,0.015286442047861726,0.06202893240612539,True
49,0.0,none,CLF,-0.10186274626057266,0.43721669817366404,True
49,0.0,none,FAMF,0.019031353240669877,0.09379100170348664,True
50,0.0,none,Baseline,-0.10505393489599006,2.772790825396566,True
50,0.0,none,CLF,-0.19930223378586337,3.136119468598098,True
50,0.0,none,FAMF,-0.09284589461800541,2.048902750081103,True
51,0.0,none,Baseline,0.10196308384651054,2.613250347499891,True
51,0.0,none,CLF,0.09818641040665195,0.4257953812283706,True
51,0.0,none,FAMF,0.10238317637956144,2.613370849158848,True
52,0.0,none,Baseline,-0.021464252235141694,0.12008059864100673,True
52,0.0,none,CLF,-0.021747708234379284,0.11994775519528744,True
52,0.0,none,FAMF,-0.014715383318018227,0.05306994641960294,True
53,0.0,none,Baseline,-0.07113867017699557,1.3201837860564538,True
53,0.0,none,CLF,-0.21140565318041743,3.39682287002387,True
53,0.0,none,FAMF,-0.0714797519677123,1.321579933192151,True
54,0.0,none,Baseline,-0.07326414033527275,1.412376870205124,True
54,0.0,none,CLF,-0.19753257980961314,3.0493398474773414,True
54,0.0,none,FAMF,-0.07315312072458732,1.412956757824194,True
55,0.0,none,Baseline,0.11286569097294945,3.3241039938409216,True
55,0.0,none,CLF,0.11297023053287482,2.6048937688779183,True
55,0.0,none,FAMF,0.11284050436700824,3.3242068687486555,True
56,0.0,none,Baseline,0.015115375038035676,0.0583397847922722,True
56,0.0,none,CLF,0.014918335816197906,0.041802125095792064,True
56,0.0,none,FAMF,0.015016747046205661,0.05885730554416213,True
57,0.0,none,Baseline,-0.029251909997357748,0.2240995921886153,True
57,0.0,none,CLF,-0.05821796008200324,0.3456758382709779,True
57,0.0,none,FAMF,-0.029173566418749484,0.2242172148223034,True
58,0.0,none,Baseline,0.11261233694515134,3.2256665311852064,True
58,0.0,none,CLF,-0.07219289345212562,0.2303406915961954,True
58,0.0,none,FAMF,0.12198655363802043,3.6901809875768485,True
59,0.0,none,Baseline,0.013749487231059272,0.049758117554802084,True
59,0.0,none,CLF,-0.07611481192108051,0.42379372399007487,True
59,0.0,none,FAMF,0.013654033208361744,0.04977872411387452,True
60,0.0,none,Baseline,-0.10075822214082021,2.677261867087916,True
60,0.0,none,CLF,-0.23239123942263776,5.6797350408298595,True
60,0.0,none,FAMF,-0.100841686646992,2.677215452727973,True
61,0.0,none,Baseline,0.023711219073448194,0.14542092122349182,True
